            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2        0.88407      -0.000971          3e-06   -1.35363e-06    3.53635e-06   -3.97086e-06   -7.59287e-05     0.00131116
           0.4        1.75051       -0.00186          1e-05   -2.31122e-06     7.1122e-06   -2.10291e-05    1.68297e-05    0.000757345
           0.6         2.5829      -0.002608        1.6e-05    8.64307e-06   -4.44307e-05    0.000264062    -0.00182109      0.0143248
           0.8        3.36717      -0.003195        2.8e-05   -3.08413e-06    1.08413e-05   -5.47093e-05    0.000331558    -0.00234086
             1         4.0924      -0.003624        3.3e-05    6.34363e-06   -3.54363e-05    0.000217483    -0.00154733       0.012514
           1.2        4.75139      -0.003924        4.3e-05   -1.22176e-05    6.11764e-05   -0.000378986     0.00269818     -0.0217596
           1.4        5.34071       -0.00412        4.5e-05    -3.8334e-06     1.6334e-05   -9.78334e-05    0.000656431    -0.00490773
           1.6        5.86042      -0.004241        4.8e-05   -5.82569e-06    2.62569e-05   -0.000163072     0.00116754    -0.00948018
           1.8        6.31353      -0.004307        4.7e-05    5.53916e-06   -3.63916e-05    0.000235232    -0.00172975       0.014326
             2        6.70513      -0.004336        4.9e-05    -9.7944e-07     -2.056e-07    2.30635e-06   -1.88454e-05    0.000161303
           2.2        7.04168      -0.004338        4.7e-05    7.14164e-06   -4.04164e-05    0.000243176    -0.00170697      0.0136911
           2.4        7.33035      -0.004324        4.7e-05    7.41218e-06   -4.51218e-05     0.00028263    -0.00202445       0.016385
           2.6         7.5785        -0.0043          5e-05    -6.8469e-06     2.8469e-05   -0.000168519     0.00118065     -0.0095148
           2.8        7.79344      -0.004268        4.9e-05    -5.4733e-06     2.3733e-05   -0.000148679     0.00108231    -0.00894717
             3        7.98216      -0.004232        4.8e-05   -4.29012e-06    1.79012e-05   -0.000108935    0.000760009    -0.00599981
           3.2        8.15118      -0.004194        4.5e-05    4.82484e-06   -2.42484e-05    0.000123656    -0.00073669     0.00502704
           3.4        8.30628      -0.004158        4.5e-05    5.01861e-06   -3.41861e-05    0.000221361    -0.00161204      0.0131528
           3.6        8.45226      -0.004125        4.6e-05    -4.6075e-06     2.5075e-05   -0.000177784     0.00138458     -0.0119024
           3.8        8.59283      -0.004098        4.5e-05   -9.30938e-07    1.30938e-06   -1.26933e-05    0.000120074    -0.00118636
             4        8.73076      -0.004079        4.3e-05    5.16049e-06   -2.66049e-05    0.000142659   -0.000900329     0.00655533
           4.2        8.86842      -0.004071        4.3e-05    5.76653e-06   -3.36653e-05    0.000202265     -0.0014047      0.0111038
           4.4        9.00792      -0.004075        4.7e-05   -1.00712e-05    4.57123e-05   -0.000270176     0.00185592     -0.0145298
